h,t
114,3
112,5
84,7
63,10
60,27
57,31
54,35
48,40
45,44
43,64
38,70
36,82
34,89
32,92
30,95
29,108
28,117
25,121
24,132
23,139
21,145
20,153
18,157
17,163
16,169
15,177
14,184
13,190
