h,t
114,3
112,5
84,7
80,12
75,20
74,24
72,28
68,38
60,44
57,58
56,60
53,65
52,69
49,75
46,80
41,86
39,101
37,110
35,113
33,119
31,122
30,138
27,142
26,153
25,162
24,165
23,170
21,177
20,180
19,184
17,189
13,192
12,196
